episode,reward,length
1,12.049662,13
2,40.795682,42
3,12.030927,13
4,37.889332,39
5,34.818391,36
6,9.979295,11
7,11.020609,12
8,30.909675,32
9,11.049165,12
10,12.063287,13
11,15.959254,17
12,11.06606,12
13,14.984236,16
14,20.903448,22
15,16.014735,17
16,17.920119,19
17,12.059898,13
18,11.990614,13
19,11.969375,13
20,42.905543,44
21,26.856047,28
22,26.890113,28
23,16.966252,18
24,14.965316,16
25,16.906682,18
26,28.824613,30
27,16.901577,18
28,27.813723,29
29,25.867183,27
30,41.697718,43
31,35.773527,37
32,18.02468,19
33,16.982972,18
34,14.05617,15
35,10.958965,12
36,12.965314,14
37,28.921336,30
38,12.000352,13
39,15.907907,17
40,22.929827,24
41,14.023924,15
42,28.88446,30
43,32.815623,34
44,31.817091,33
45,12.943448,14
46,60.696722,62
47,16.012863,17
48,25.856823,27
49,21.960278,23
50,13.063384,14
51,16.977463,18
52,28.888465,30
53,16.99413,18
54,29.814274,31
55,17.96012,19
56,46.870789,48
57,19.94731,21
58,18.907969,20
59,70.654511,72
60,60.565139,62
61,34.797619,36
62,28.928343,30
63,11.952163,13
64,17.915379,19
65,22.958189,24
66,35.860915,37
67,10.995497,12
68,16.932438,18
69,21.003669,22
70,14.933493,16
71,11.04797,12
72,22.934081,24
73,13.944191,15
74,25.903572,27
75,34.784484,36
76,15.005474,16
77,73.500297,75
78,13.03898,14
79,45.828286,47
80,34.832836,36
81,20.946742,22
82,16.95438,18
83,13.942525,15
84,51.71127,53
85,12.073157,13
86,34.787425,36
87,8.986999,10
88,11.996806,13
89,19.917426,21
90,15.978416,17
91,23.926868,25
92,12.994409,14
93,16.029132,17
94,13.963308,15
95,29.92141,31
96,41.820126,43
97,20.979472,22
98,13.038567,14
99,67.684861,69
100,17.896923,19
101,52.717066,54
102,17.011222,18
103,24.934942,26
104,19.997007,21
105,33.833056,35
106,11.025428,12
107,8.079613,9
108,13.990882,15
109,19.927653,21
110,58.723757,60
111,25.982298,27
112,12.002916,13
113,15.051657,16
114,38.736492,40
115,21.928574,23
116,33.908498,35
117,44.873361,46
118,22.97398,24
119,22.883526,24
120,40.727382,42
121,14.040587,15
122,19.989816,21
123,11.968469,13
124,53.775042,55
125,14.931897,16
126,23.919368,25
127,11.035766,12
128,15.968943,17
129,24.871497,26
130,23.960664,25
131,34.761566,36
132,19.911892,21
133,18.95831,20
134,12.020989,13
135,39.754419,41
136,18.97947,20
137,12.049138,13
138,11.003836,12
139,58.773519,60
140,17.95566,19
141,10.09007,11
142,25.969215,27
143,24.911689,26
144,40.748998,42
145,44.682166,46
146,27.922129,29
147,26.902319,28
148,91.546475,93
149,55.746692,57
150,16.930685,18
151,16.911492,18
152,19.922452,21
153,20.891327,22
154,12.973844,14
155,34.908941,36
156,12.025706,13
157,49.774872,51
158,16.994387,18
159,16.983991,18
160,47.802311,49
161,32.801397,34
162,61.582794,63
163,14.972819,16
164,19.026535,20
165,42.742208,44
166,44.7483,46
167,37.76641,39
168,22.931354,24
169,39.76237,41
170,51.757695,53
171,22.923361,24
172,49.753249,51
173,27.972935,29
174,13.995009,15
175,23.916013,25
176,13.018781,14
177,37.7733,39
178,38.861103,40
179,30.871409,32
180,27.927471,29
181,14.989652,16
182,19.013493,20
183,74.616062,76
184,83.492701,85
185,14.953524,16
186,32.883941,34
187,80.496308,82
188,106.55534,108
189,24.992536,26
190,13.931424,15
191,28.922936,30
192,75.609906,77
193,65.619908,67
194,42.81371,44
195,24.86301,26
196,17.961835,19
197,43.809302,45
198,14.974274,16
199,10.011001,11
200,33.770136,35
201,21.902978,23
202,10.057932,11
203,34.828461,36
204,35.91782,37
205,26.859845,28
206,31.917015,33
207,16.915939,18
208,13.007649,14
209,21.013074,22
210,37.889089,39
211,108.653087,110
212,57.76722,59
213,23.939165,25
214,76.441635,78
215,46.756661,48
216,16.974063,18
217,22.950382,24
218,148.406412,150
219,20.896268,22
220,28.870005,30
221,29.907547,31
222,13.031708,14
223,37.899708,39
224,34.856396,36
225,58.676717,60
226,20.001452,21
227,45.835694,47
228,10.964908,12
229,25.869687,27
230,23.871196,25
231,20.97758,22
232,48.784613,50
